Usuario,id_equipo,RESPONISVA,FECHA DE ASIGNACION,estatus
105,236,1,2021-12-08,ACTIVO
106,237,0,2021-05-31,ACTIVO
106,238,1,2019-07-20,ACTIVO
107,239,0,2021-11-25,ACTIVO
107,240,0,2021-11-25,ACTIVO
108,241,1,2021-09-17,ACTIVO
108,242,1,2021-09-17,ACTIVO
108,243,1,2021-09-17,ACTIVO
108,244,1,2021-09-17,ACTIVO
108,245,1,2021-09-17,ACTIVO
109,246,1,1900-01-01,ACTIVO
109,247,1,1900-01-01,ACTIVO
110,248,0,2020-01-25,ACTIVO
111,249,0,2021-12-06,ACTIVO
111,250,0,1900-01-01,ACTIVO
111,251,0,1900-01-01,ACTIVO
112,252,1,1900-01-01,ACTIVO
112,253,1,1900-01-01,ACTIVO
113,254,0,2022-01-28,ACTIVO
113,255,0,2022-01-28,ACTIVO
114,256,0,2021-04-30,ACTIVO
115,257,1,2021-04-13,ACTIVO
116,258,0,2018-12-06,ACTIVO
117,259,0,2020-03-18,ACTIVO
117,260,0,1900-01-01,ACTIVO
117,261,0,1900-01-01,ACTIVO
118,262,1,2021-08-25,ACTIVO
118,263,1,2021-11-02,ACTIVO
119,264,1,2021-04-01,ACTIVO
119,265,0,1900-01-01,ACTIVO
120,266,1,2021-11-17,ACTIVO
120,267,1,2021-11-17,ACTIVO
120,268,1,2021-11-17,ACTIVO
121,269,1,2021-07-14,ACTIVO
122,270,1,1900-01-01,ACTIVO
122,271,1,1900-01-01,ACTIVO
122,272,1,2021-03-24,ACTIVO
122,273,0,1900-01-01,ACTIVO
122,274,1,2021-07-30,ACTIVO
122,275,1,2018-03-09,ACTIVO
122,276,1,2018-03-09,ACTIVO
122,277,1,2017-05-13,ACTIVO
123,278,0,1900-01-01,ACTIVO
124,279,1,2022-01-18,ACTIVO
124,280,1,2022-02-18,ACTIVO
125,281,1,2021-05-31,ACTIVO
125,282,1,2021-09-29,ACTIVO
125,283,1,2021-05-31,ACTIVO
125,284,1,2021-09-29,ACTIVO
126,285,1,2021-02-23,ACTIVO
126,286,1,2021-02-23,ACTIVO
127,287,1,1900-01-01,ACTIVO
127,288,1,2018-12-12,ACTIVO
127,289,0,2021-01-25,ACTIVO
127,290,1,2021-01-25,ACTIVO
128,291,1,1900-01-01,ACTIVO
128,292,1,1900-01-01,ACTIVO
128,293,1,1900-01-01,ACTIVO
129,294,1,2021-11-29,ACTIVO
129,295,1,2021-11-29,ACTIVO
130,296,1,2022-02-08,ACTIVO
131,297,1,1900-01-01,ACTIVO
131,298,1,1900-01-01,ACTIVO
132,299,1,2021-06-01,ACTIVO
132,300,1,2020-02-04,ACTIVO
133,301,1,2021-06-01,ACTIVO
133,302,1,1900-01-01,ACTIVO
133,303,1,1900-01-01,ACTIVO
134,304,1,2021-12-31,ACTIVO
134,305,1,2021-12-31,ACTIVO
135,306,1,1900-01-01,ACTIVO
135,307,1,1900-01-01,ACTIVO
135,308,1,2021-09-20,ACTIVO
136,309,1,2019-12-18,ACTIVO
136,310,1,2019-12-18,ACTIVO
137,311,1,1900-01-01,ACTIVO
138,312,1,2022-02-23,ACTIVO
138,313,1,2022-02-23,ACTIVO
